Item,Date,Unit Price,Quantity,Total Price,Coupon Used,UPC
"Almond Breeze® Dairy Free Unsweetened Vanilla Almond Milk Half Gallon, 1/2 gal","Aug. 14, 2025",3.79,1,3.79,No,0004157005618
"Boar's Head American Cheese White, 1 lb","Aug. 14, 2025",10.99,1.04 lbs,11.43,No,0027635000000
"Boar’s Head EverRoast Chicken Breast, 1 lb","Aug. 14, 2025",11.49,1.02 lbs,11.72,Yes,0027593500000
"BODYARMOR® Lyte Dragonfruit Berry Sports Drink Bottles, 6 bottles / 20 fl oz","Aug. 14, 2025",5.99,1,5.99,Yes,0081011383005
"Capri Sun Fruit Punch Juice Box Pouches, 10 ct","Aug. 14, 2025",3.79,1,3.79,No,0008768400107
"Fresh Bunch of Bananas – 5-7 Bananas, 1 bunch","Aug. 14, 2025",0.55,4.83 lbs,2.66,No,0000000004011
"Garden Fresh Gourmet Jack's Special Medium Salsa, 16 oz","Aug. 14, 2025",3.29,1,3.29,Yes,0064767100014
"Garden Fresh Gourmet® Jack's Special Seasoned Tortilla Chips, 14 oz","Aug. 14, 2025",2.99,1,2.99,Yes,0064767150256
"GoGo squeeZ® fruit & veggieZ Peach & Berry Applesauce and Fruit Puree Pouches Variety Pack, 20 ct / 3.2 oz","Aug. 14, 2025",11.99,1,11.99,Yes,0084886004505
"Jell-O Original Chocolate Vanilla Swirls Pudding Cups Snack, 4 ct","Aug. 14, 2025",3.49,1,3.49,No,0004300004211
"Kraft Original Mac N Cheese Macaroni and Cheese Cups Easy Microwavable Dinner, 4 ct","Aug. 14, 2025",3.49,1,3.49,Yes,0002100001253
"Kroger® 1% Lowfat Milk Gallon, 1 gal","Aug. 14, 2025",2.79,1,2.79,No,0001111041660
"Kroger® 100% Apple Juice, 64 fl oz","Aug. 14, 2025",2.29,2,4.58,Yes,0001111003962
"Kroger® 100% White Grape Juice From Concentrate No Sugar Added Bottle, 64 fl oz","Aug. 14, 2025",2.99,2,5.98,No,0001111003973
"Kroger® Honey Wheat Bread, 20 oz","Aug. 14, 2025",2.29,2,4.58,Yes,0001111008449
"Kroger® Peeled Baby Carrots Bag, 16 oz","Aug. 14, 2025",1.39,1,1.39,No,0001111091620
"Late July Sea Salt & Lime Organic Tortilla Chips, 14.75 oz","Aug. 14, 2025",6.99,1,6.99,No,0081509902184
"Nature's Own Perfectly Crafted Non-GMO Brioche Style Hamburger Buns, 8 ct / 18 oz","Aug. 14, 2025",4.49,1,4.49,No,0007225002525
"Perdue® Frozen Fully Cooked Breaded Chicken Breast Nuggets, 29 oz","Aug. 14, 2025",8.49,1,8.49,No,0007274580423
"Perdue® No Antibiotics Ever Fresh 98% Lean Ground Chicken Breast, 1 lb","Aug. 14, 2025",4.99,1,4.99,No,0007274506328
"Simple Truth Organic® 90/10 Grass Fed Ground Beef Pack 1 LB, 1 lb","Aug. 14, 2025",8.49,2,16.98,Yes,0001111096784
"Simple Truth Organic® Original Hummus, 8 oz","Aug. 14, 2025",3.49,1,3.49,Yes,0001111019439
"Simple Truth™ Natural Cage Free Large Brown Eggs, 18 ct","Aug. 14, 2025",5.99,1,5.99,No,0001111089310
"Stok® Unsweet Cold Brew Slow Roast Black Iced Coffee Carton, 48 fl. oz.","Aug. 14, 2025",6.49,4,25.96,No,0004127102773
"Sun-Maid® California Sun-Dried Raisins, 20 oz","Aug. 14, 2025",5.79,1,5.79,No,0004114312870
"100% Cold-Pressed Orange Juice, 15.2 fl oz","Aug. 23, 2025",4.99,1,4.99,No,0076235700047
"Armour LunchMakers Ham & Cheese Cracker Crunchers Meal Kit with Candy Bar, 2.44 oz","Aug. 23, 2025",1.5,2,3,No,0004660003427
"Boar's Head Dark Chocolate Dessert Hummus 10 oz, 10 oz","Aug. 23, 2025",4.49,1,4.49,Yes,0004242116301
"BODYARMOR® Lyte Dragonfruit Berry Sports Drink Bottles, 6 bottles / 20 fl oz","Aug. 23, 2025",5.99,1,5.99,Yes,0081011383005
"CHOMPLINGS Grass-Fed and Finished Original Mini Beef Meat Sticks, 6 Count, 6 ct / 0.5oz","Aug. 23, 2025",10.49,1,10.49,No,0085658400486
"Daisy Pure and Natural Sour Cream, 16 oz","Aug. 23, 2025",2.99,1,2.99,No,0007342000011
"Fresh Apples in 3lb Bluey Bag, 3 lb","Aug. 23, 2025",3.99,1,3.99,Yes,0073231300269
"Fresh Blackberries - 6 OZ Clamshell, 6 oz","Aug. 23, 2025",3.19,2,6.38,No,0003338324000
"Fresh Blueberries - 18 OZ - Clamshell, 18 oz","Aug. 23, 2025",6.99,1,6.99,No,0003338322241
"Fresh Bunch of Bananas – 5-7 Bananas, 1 bunch","Aug. 23, 2025",0.54,5.44 lbs,2.99,No,0000000004011
"Fresh Red Raspberries - 6 OZ Clamshell, 6 oz","Aug. 23, 2025",3.79,1,3.79,No,0003338321000
"Fresh Seedless Red Grapes, 1 lb","Aug. 23, 2025",2.68,3.03 lbs,8.15,No,0000000004023
"Fresh Strawberries – 1 LB Clamshell, 1 lb","Aug. 23, 2025",2.99,2,5.98,No,0003338320027
"Kroger® 1% Lowfat Milk Gallon, 1 gal","Aug. 23, 2025",2.79,1,2.79,No,0001111041660
"Kroger® 100% No Sugar Added White Grape Juice Bottle, 64 fl oz","Aug. 23, 2025",2.99,2,5.98,No,0001111003973
"Kroger® Fruit & Cream Instant Oatmeal Variety Pack, 8 ct","Aug. 23, 2025",1.79,4,7.16,Yes,0001111010030
"Kroger® Honey Wheat Bread, 20 oz","Aug. 23, 2025",2.29,4,9.16,Yes,0001111008449
"Kroger® Peeled Baby Carrots Bag, 16 oz","Aug. 23, 2025",1.39,2,2.78,No,0001111091620
"Kroger® Peeled Baby Carrots Snack Pack, 4 ct / 3 oz","Aug. 23, 2025",2.29,1,2.29,No,0001111091653
"Kroger® Roasted Red Pepper Hummus, 10 oz","Aug. 23, 2025",3.99,1,3.99,No,0001111062239
"Lunchables Extra Cheesy Pizza, Pack, 4.2 oz","Aug. 23, 2025",2.29,2,4.58,No,0004470002411
"MadeGood® Blueberry Breakfast Bars, 5 ct / 1.06 oz","Aug. 23, 2025",3.79,2,7.58,Yes,0068745621565
